Group,ID,Day,Size
1,101,0,41.8
1,101,20,1678.3
1,102,0,79.4
1,102,20,1336.8
1,103,0,44.8
1,104,0,67.7
1,105,0,54.7
1,106,0,60
1,107,0,46.8
1,108,0,49.4
2,201,0,49.1
2,201,20,1069.7
2,202,0,60.6
2,203,0,41.5
2,204,0,46.8
2,205,0,39.5
2,205,20,1582.3
2,206,0,53.5
2,207,0,43.5
2,207,20,172.4
2,208,0,64.4
2,209,0,47.5
2,210,0,71.7
2,210,20,1123.9
3,301,0,44.1
3,302,0,42.1
3,302,20,1003.3
3,303,0,42.5
3,303,20,646.5
3,304,0,56.9
3,305,0,46.7
3,305,20,650.5
3,306,0,51.2
3,306,20,2159.6
3,307,0,44
3,307,20,1071.8
3,308,0,59.8
3,309,0,40.7
3,309,20,737.5
3,310,0,58.2
3,310,20,1690.8
4,401,0,41.3
4,402,0,53.5
4,403,0,45.8
4,403,20,898.8
4,404,0,48.2
4,405,0,47.7
4,405,20,651.5
4,406,0,69.2
4,406,20,1827
4,407,0,43.9
4,408,0,59.3
4,409,0,51.1
4,409,20,1057
