Group,Day,mean(Size)
1,0,55.575
1,1,86.1
1,2,77.46666666666667
1,3,87.92
1,4,129.5875
1,5,216.22
1,6,276.64
1,7,319.1375
1,8,395.1
1,9,524.9
1,10,617.72
1,11,886.9
1,12,1304.54
1,13,1597.4
1,14,1330.6666666666667
1,15,1535.3999999999999
1,16,2044.65
1,17,1499.9
1,18,1339.5
1,19,1435.75
1,20,1507.55
1,21,1563.85
2,0,51.81
2,1,52.542857142857144
2,2,61.128571428571426
2,3,74.825
2,4,115.13333333333333
2,5,138.65
2,6,138.35
2,7,164.05555555555554
2,8,214.55714285714285
2,9,280.1
2,10,415.1
2,11,446.4888888888889
2,12,418.45
2,13,453.475
2,14,646.7333333333333
2,15,704.6142857142858
2,16,848.3000000000001
2,17,1156.9857142857143
2,18,1118.4777777777779
2,19,950.875
2,20,987.075
2,21,1109.65
2,22,1650.425
2,23,1153.725
2,24,1668.0333333333333
2,25,1836.325
2,26,1737.7
2,27,1509.6333333333332
2,28,445.2
3,0,48.620000000000005
3,1,70.83333333333333
3,2,92.96666666666667
3,3,88.11428571428571
3,4,81.95714285714286
3,5,162.6222222222222
3,6,255.15
3,7,324.08
3,8,394.9
3,9,647.7333333333333
3,10,576.4285714285714
3,11,627.4285714285714
3,12,801.6555555555556
3,13,933.66
3,14,842.9111111111112
3,15,1174.2666666666667
3,16,1143
3,17,1007.3
3,18,1065.96
3,19,772.575
3,20,1137.142857142857
3,21,1003.9166666666666
3,22,1257.55
3,23,1408.8
3,24,1545.55
3,25,1343.975
3,26,1338.925
3,27,1524.95
3,28,1713.8
4,0,51.111111111111114
4,1,66.08571428571429
4,2,69.25999999999999
4,3,88.93333333333334
4,4,113.23750000000001
4,5,147.7
4,6,182.16
4,7,222.9777777777778
4,8,308.8833333333333
4,9,297.06
4,10,366.95
4,11,380.36
4,12,672.3
4,13,767.575
4,14,653.4714285714285
4,15,644.4333333333333
4,16,582.04
4,17,660.02
4,18,773.1333333333333
4,19,1099.5666666666666
4,20,1108.575
4,21,926.6999999999999
4,22,1319.8666666666668
4,23,877.52
4,24,1085.25
4,25,822.6
4,26,902.75
4,27,829.75
4,28,821.3000000000001
